,YOB,Income,Lon,Lat,Apl_Year,gender,Accepted
328,1975,1550,-86,28,2017,0,True
329,1984,8423,-84,37,2018,0,False
330,1971,7739,-97,46,2016,1,False
331,1942,5796,-99,38,2018,1,True
332,1926,2907,-95,29,2018,0,True
333,1982,9087,-94,24,2016,1,False
334,1953,6856,-87,21,2017,1,True
335,1990,7790,-97,29,2016,0,False
336,2008,6185,-87,37,2017,0,False
337,1944,6504,-84,26,2017,0,False
338,1991,8051,-94,42,2018,0,False
339,1979,2526,-90,29,2017,1,False
340,1938,4131,-81,28,2018,0,True
341,1960,5613,-81,46,2018,0,False
342,1965,3408,-86,21,2018,0,False
343,1921,5488,-97,24,2016,1,True
344,1913,6184,-82,38,2016,1,False
345,1912,8844,-94,38,2017,1,True
346,1932,1657,-97,25,2018,1,True
347,1969,5392,-94,26,2018,0,False
348,1975,5776,-99,42,2018,1,True
349,1928,7006,-94,25,2018,1,False
350,1954,1041,-97,28,2018,1,True
351,1959,1253,-99,46,2016,0,True
352,2005,7237,-82,46,2018,1,False
353,1925,9236,-84,38,2017,0,False
354,2003,3195,-82,29,2018,0,False
355,1959,1726,-99,21,2018,0,True
356,1996,9041,-97,21,2018,1,False
357,1915,3151,-84,29,2017,1,True
358,1930,4822,-84,46,2017,0,True
359,1999,1990,-90,38,2018,1,False
360,1913,7593,-99,26,2018,0,False
361,1977,7764,-97,28,2017,0,False
362,1980,7791,-94,29,2018,0,False
363,1961,5684,-87,46,2016,0,False
364,1991,2917,-82,26,2017,0,True
365,2008,1903,-82,46,2016,1,True
366,1940,2170,-87,29,2018,0,True
367,1959,1066,-82,21,2016,0,False
368,2003,1418,-97,26,2018,1,False
369,1992,9089,-97,37,2016,1,True
370,2003,3307,-87,26,2017,1,True
371,1980,1436,-95,24,2016,1,False
372,1993,5187,-95,29,2016,1,False
373,1920,2961,-95,38,2018,0,True
374,1931,1384,-99,38,2016,1,True
375,1933,6723,-84,42,2017,0,False
376,1981,6005,-86,28,2016,0,False
377,1936,7245,-90,21,2016,1,False
378,1976,5573,-97,42,2016,1,True
379,1986,7101,-99,38,2017,0,False
380,1913,4593,-84,37,2017,1,True
381,1962,7904,-90,25,2018,1,False
382,1928,3144,-84,37,2018,0,True
383,2009,6637,-99,29,2016,1,True
384,1940,5985,-86,24,2016,1,True
385,2006,4714,-86,29,2018,1,False
386,1972,9942,-81,26,2016,0,False
387,2013,1246,-95,25,2018,0,True
388,1934,2321,-84,46,2016,0,True
389,1915,2174,-95,46,2017,1,True
390,1931,2045,-84,46,2018,0,True
391,1999,4056,-94,37,2017,0,False
392,1962,5254,-87,25,2018,0,False
393,1937,2263,-84,25,2016,0,True
394,1957,6023,-82,26,2018,1,True
395,1950,4225,-94,38,2016,1,False
396,1972,5813,-97,29,2018,0,False
397,2015,9284,-82,37,2016,1,True
398,1969,1367,-90,29,2018,1,True
399,1999,6357,-94,24,2016,1,False
400,1935,6360,-97,25,2017,1,False
401,2012,5772,-84,29,2018,1,True
402,2002,2318,-86,28,2018,1,True
403,1932,3216,-81,42,2016,1,True
404,1920,9012,-90,24,2016,0,False
405,2000,2408,-81,24,2018,1,True
406,1987,9305,-82,42,2018,1,False
407,2008,9631,-82,29,2018,1,False
408,1974,4914,-84,46,2016,1,True
409,1931,7657,-81,38,2018,1,False
410,1942,9462,-84,25,2016,0,False
411,2001,5701,-95,21,2016,0,False
412,1915,8101,-82,29,2017,0,True
413,1973,4341,-94,28,2017,0,False
414,1996,2504,-94,42,2017,0,True
415,1966,8066,-86,24,2016,1,False
416,1924,3114,-86,28,2016,1,False
417,1955,7045,-81,21,2018,0,False
418,1919,7362,-86,46,2016,0,True
419,1925,6054,-90,24,2018,1,False
420,1989,1327,-86,25,2016,0,False
421,1926,9075,-84,37,2016,0,True
422,1939,4196,-81,29,2017,1,True
423,1971,5046,-94,28,2017,1,False
424,1978,5375,-86,21,2018,0,False
425,1961,3860,-86,25,2018,0,False
426,1934,8241,-94,46,2017,1,False
427,2008,9984,-94,42,2018,0,False
428,2011,9060,-97,28,2016,0,False
429,1968,6282,-94,46,2016,0,False
430,1919,4973,-82,24,2016,0,True
431,1982,9965,-82,37,2018,1,False
432,1953,1765,-81,46,2017,0,True
433,1972,2820,-94,46,2016,1,False
434,2012,2393,-87,29,2016,1,True
435,1912,7690,-86,28,2018,0,True
436,1961,5005,-95,21,2018,1,False
437,1913,7869,-82,38,2017,0,False
438,1954,9929,-84,21,2016,0,False
439,1964,1203,-84,46,2016,0,True
440,1989,9626,-99,37,2016,0,False
441,2002,9245,-86,26,2018,0,False
442,1945,8197,-86,29,2017,1,False
443,1960,6989,-94,28,2016,1,False
444,1935,7603,-86,29,2018,0,True
445,1974,6292,-99,24,2018,1,False
446,2010,8870,-82,28,2018,0,False
447,1936,3682,-99,24,2016,0,False
448,1939,1588,-97,21,2017,0,True
449,2001,6317,-82,21,2017,1,True
450,2009,6661,-84,26,2018,0,False
451,1977,7725,-99,42,2018,0,True
452,2004,6642,-81,42,2016,0,False
453,1974,6157,-94,37,2017,1,False
454,1997,1496,-99,29,2018,1,True
455,1952,8672,-82,37,2018,0,False
456,2015,7427,-86,28,2018,0,False
457,1997,5670,-95,25,2016,1,False
458,1947,2688,-81,38,2018,0,True
459,1969,7377,-99,46,2016,1,False
460,1913,2888,-81,25,2016,1,True
461,1980,4818,-84,29,2016,1,True
462,1986,1747,-95,38,2018,1,True
463,1974,8288,-86,28,2017,1,True
464,1972,3325,-99,38,2018,0,False
465,2003,8999,-87,28,2016,0,False
466,1926,8177,-94,37,2018,0,False
467,1921,2250,-95,37,2016,0,True
468,1913,2360,-90,24,2017,0,True
469,1920,5831,-94,24,2017,1,True
470,1920,7482,-86,46,2017,0,True
471,1938,6204,-90,37,2017,0,True
472,1981,5346,-94,42,2018,1,False
473,1972,1956,-82,46,2016,0,True
474,1959,9246,-95,37,2018,1,False
475,1913,9316,-82,24,2016,1,True
476,1947,2868,-86,46,2017,0,False
477,1972,6138,-90,25,2016,1,False
478,1933,4441,-84,21,2018,0,True
479,1935,3830,-84,26,2016,0,True
480,1932,8736,-99,46,2018,0,False
481,1933,3737,-81,38,2017,1,False
482,2012,1636,-97,26,2018,0,True
483,1936,4380,-84,42,2016,1,True
484,1987,2424,-95,29,2017,0,False
485,1972,1810,-84,38,2016,1,True
486,1927,3984,-99,24,2017,1,False
487,1982,1804,-97,46,2017,1,True
488,1992,7386,-87,25,2018,0,False
489,1936,5073,-97,29,2016,0,False
490,1976,2754,-82,28,2017,1,True
491,1980,4674,-94,37,2016,0,True
492,1935,4090,-84,37,2018,0,True
493,1974,9225,-81,26,2016,0,False
494,1922,6724,-84,24,2018,1,True
495,1987,2432,-81,25,2016,1,True
496,1959,5459,-82,28,2017,0,True
497,1912,1369,-95,42,2018,1,True
498,1913,5971,-87,38,2017,1,True
499,1966,6542,-86,21,2017,1,False
500,1989,3888,-97,28,2016,1,False
501,2016,9097,-97,26,2018,0,True
502,1983,9379,-86,21,2018,1,False
503,1930,8313,-81,29,2018,0,False
504,1974,5955,-81,25,2018,1,True
505,1918,1147,-95,21,2018,0,True
506,1989,6604,-81,42,2016,0,True
507,2010,5841,-84,46,2018,0,True
508,1969,4432,-84,25,2017,1,False
509,1962,8739,-94,29,2016,1,False
510,1995,8064,-95,42,2016,0,False
511,2005,9243,-99,25,2018,0,False
512,1941,4506,-84,21,2018,1,False
513,1979,8211,-87,38,2018,1,True
514,1910,8059,-82,29,2018,1,True
515,1943,6461,-95,38,2018,0,False
516,1967,6132,-86,38,2017,1,False
517,1928,6012,-97,28,2016,1,True
518,1999,6565,-81,37,2017,1,True
519,1997,2823,-90,28,2016,1,True
520,2002,8710,-97,42,2017,0,False
521,1997,9836,-84,28,2018,1,False
522,1997,8113,-86,46,2017,0,True
523,1957,3000,-86,26,2016,1,True
524,2010,1847,-86,26,2017,0,True
525,1977,4406,-95,25,2017,0,True
526,1999,7153,-82,21,2017,0,False
527,1998,3993,-97,21,2018,0,False
528,1972,3922,-86,24,2017,0,True
529,1955,5983,-87,29,2016,0,False
530,1919,7455,-94,42,2017,1,True
531,1963,3884,-81,24,2017,1,True
532,2014,6064,-90,21,2016,1,True
533,1983,9533,-86,25,2016,1,False
534,1973,8272,-95,38,2017,1,False
535,2011,4314,-95,28,2016,1,True
536,1958,7133,-81,25,2018,1,False
537,2002,3413,-90,42,2017,1,False
538,1913,3217,-97,25,2017,0,False
539,2011,1572,-94,25,2016,0,True
540,1989,9935,-95,29,2017,0,False
541,1941,5739,-99,29,2017,0,True
542,1927,2034,-81,46,2016,0,True
543,2000,9840,-99,25,2018,1,False
544,1962,8895,-81,37,2018,0,False
545,2009,1781,-84,25,2016,0,True
546,1984,9129,-94,42,2016,1,False
547,1979,5770,-99,21,2016,1,True
548,1922,6044,-95,29,2016,1,True
549,1938,5958,-87,21,2016,0,False
550,2006,8060,-81,24,2017,1,True
551,1912,2984,-84,26,2017,0,True
552,2008,4842,-94,42,2018,1,False
553,1992,6630,-87,28,2018,0,False
554,1995,8353,-82,25,2017,0,False
555,1969,3355,-82,24,2016,0,False
556,2005,1982,-94,38,2016,1,True
557,1921,8777,-81,29,2018,0,False
558,1933,3363,-81,46,2018,0,False
559,1996,2383,-95,42,2017,1,True
560,1965,8473,-81,21,2016,0,False
561,1930,4126,-84,26,2018,1,True
562,1916,7867,-95,46,2017,1,False
563,1957,8865,-86,28,2018,0,False
564,1940,1521,-99,21,2016,0,True
565,1939,2842,-97,42,2016,1,True
566,1938,4254,-99,29,2016,0,False
567,2000,3306,-95,25,2017,0,True
568,1987,4360,-94,26,2017,1,True
569,1952,4552,-81,38,2018,1,False
570,2006,9020,-84,26,2017,1,False
571,1934,5234,-87,29,2016,1,True
572,1920,8362,-87,28,2017,1,True
573,1966,4428,-81,21,2018,1,False
574,1936,3065,-84,25,2017,1,True
575,1912,4826,-90,21,2018,1,True
576,1941,3121,-84,37,2018,0,False
577,1924,5830,-81,37,2018,1,False
578,2014,4354,-90,37,2018,1,True
579,1924,9348,-90,21,2016,1,False
580,1936,8058,-90,28,2017,1,True
581,1990,9800,-94,24,2016,1,False
582,1993,3854,-86,25,2018,0,True
583,1956,1151,-94,24,2017,0,False
584,1986,8494,-95,28,2016,1,False
585,2007,2472,-86,46,2017,0,True
586,1993,5456,-94,28,2016,1,False
587,1978,9410,-94,26,2017,0,False
588,2015,2333,-82,28,2016,1,True
589,1934,3003,-84,29,2017,0,True
590,1922,1670,-95,38,2016,0,True
591,2004,2729,-90,37,2017,0,True
592,1990,6633,-94,42,2017,0,True
593,1932,9866,-90,46,2018,0,True
594,1946,8931,-86,21,2018,0,False
595,1953,9897,-84,46,2018,1,False
596,1910,6701,-99,29,2018,0,True
597,1960,2988,-82,46,2016,1,False
598,1991,1577,-87,37,2016,0,True
599,2013,7382,-84,24,2018,1,True
600,1913,4309,-97,29,2018,1,True
601,1995,4393,-81,29,2018,0,True
602,1928,1167,-99,26,2017,1,True
603,1932,2867,-84,21,2017,1,True
604,2015,2309,-84,24,2016,0,False
605,2014,7705,-97,21,2017,0,True
606,2016,2333,-81,28,2017,1,True
607,1993,1987,-90,29,2016,1,True
608,1913,8102,-90,29,2018,1,True
609,1949,6353,-99,21,2018,0,False
610,1955,8379,-82,29,2018,1,False
611,1962,8441,-99,24,2016,1,False
612,1987,1954,-81,38,2017,1,True
613,2009,2935,-81,42,2018,1,True
614,1954,7589,-84,42,2018,0,False
615,1999,1762,-86,38,2017,0,True
616,1972,8696,-87,42,2017,0,False
617,1940,3074,-84,24,2018,0,True
618,1960,2995,-86,28,2016,0,False
619,1962,8505,-87,46,2018,1,False
620,1935,9725,-95,42,2016,0,False
621,1980,6505,-82,25,2017,1,True
622,1916,1667,-95,26,2017,0,True
623,1974,4448,-97,37,2018,1,False
624,1975,8384,-95,26,2016,0,True
625,1992,9416,-95,46,2016,1,True
626,1949,4375,-97,29,2017,1,True
627,2007,9059,-99,21,2018,0,False
628,1954,6835,-90,37,2017,0,False
629,1952,3502,-84,21,2016,0,False
630,1987,8071,-87,38,2017,0,True
631,1924,7514,-86,25,2016,1,True
632,1968,3979,-97,37,2016,0,False
633,1911,1627,-95,28,2016,0,True
634,1972,6925,-81,37,2018,1,True
635,1982,6090,-90,24,2017,1,True
636,1915,4816,-81,21,2018,0,False
637,1961,3379,-90,26,2017,0,True
638,1923,1207,-87,21,2017,1,True
639,1978,2722,-87,42,2018,0,False
640,1971,3391,-82,26,2018,0,False
641,1925,2424,-95,37,2018,0,True
642,1945,2134,-94,46,2016,0,True
643,1981,2043,-94,26,2017,0,False
644,1992,2795,-90,46,2016,0,True
645,1927,7314,-97,37,2017,0,False
646,2002,2640,-97,38,2018,1,False
647,1936,8430,-81,21,2017,1,False
648,1994,6793,-87,38,2018,1,False
649,2005,2397,-86,25,2018,0,True
650,1921,2413,-99,42,2018,0,True
651,1941,3284,-97,25,2018,0,True
652,1975,1127,-97,29,2018,1,True
653,1971,9787,-97,21,2016,1,False
654,1948,9816,-95,38,2017,0,False
655,1981,5224,-94,21,2016,0,False
656,1985,5135,-87,26,2018,0,False
657,1910,9018,-84,46,2018,0,True
658,1968,9399,-97,37,2016,0,False
659,1930,6722,-81,42,2017,1,True
660,1947,2902,-97,37,2017,1,True
661,1991,9302,-84,42,2016,0,True
662,1919,1968,-82,21,2018,0,True
663,1927,7485,-86,46,2017,0,True
664,1941,3153,-87,29,2018,1,True
665,1977,7636,-94,26,2018,0,False
666,1960,2952,-99,24,2018,1,True
667,2002,7937,-90,24,2018,1,False
668,1979,2926,-86,21,2017,1,True
669,2007,1674,-84,37,2016,1,True
670,1975,9686,-99,28,2017,0,False
671,1930,3324,-82,42,2017,0,True
672,2000,7105,-86,29,2017,1,False
673,1998,9324,-82,26,2016,1,True
674,1937,9790,-86,28,2017,0,False
675,2012,5834,-81,26,2018,0,True
676,1910,1178,-82,46,2018,1,True
677,2008,9544,-94,26,2016,0,False
678,1990,5848,-86,38,2017,1,True
679,1967,1801,-87,46,2017,0,True
680,1923,7319,-97,29,2016,0,True
681,1942,8136,-82,21,2017,0,False
682,1998,8692,-87,25,2018,0,False
683,1927,3128,-99,37,2016,0,True
684,1979,4514,-97,46,2016,1,True
685,1965,1442,-82,46,2017,1,True
686,1957,9094,-94,26,2017,0,False
687,1930,7489,-99,25,2016,1,True
688,1995,2520,-87,29,2017,0,False
689,1992,1326,-94,37,2018,1,True
690,2016,5047,-95,28,2017,0,True
691,1982,2607,-87,46,2018,1,False
692,1993,4987,-82,37,2018,0,True
693,1935,8162,-95,25,2016,0,True
694,2003,7445,-94,37,2018,0,False
695,1956,3796,-81,37,2016,0,False
